ticker,sector,industry
STNG,Energy,Oil & Gas Midstream
SM,Energy,Oil & Gas E&P
UBSI,Financial Services,Banks—Regional
SCCO,Basic Materials,Copper
ZM,Technology,Software—Application
JNPR,Technology,Communication Equipment
EXPD,Industrials,Integrated Freight & Logistics
FSLY,Technology,Software—Application
YETI,Consumer Cyclical,Leisure
KNOP,Industrials,Marine Shipping
RADI,Communication Services,Telecom Services
AMRC,Industrials,Engineering & Construction
FIVN,Technology,Software—Infrastructure
BL,Technology,Software—Application
GXO,Industrials,Integrated Freight & Logistics
HELE,Consumer Defensive,Household & Personal Products
MEDP,Healthcare,Diagnostics & Research
NOVT,Technology,Scientific & Technical Instruments
AMC,Communication Services,Entertainment
TXT,Industrials,Aerospace & Defense
OZK,Financial Services,Banks—Regional
AATC,Technology,Scientific & Technical Instruments
HWM,Industrials,Aerospace & Defense
TRUP,Financial Services,Insurance—Specialty
IPWR,Industrials,Electrical Equipment & Parts
UGRO,Industrials,Farm & Heavy Construction Machinery
WSM,Consumer Cyclical,Specialty Retail
INDB,Financial Services,Banks—Regional
GLOB,Technology,Information Technology Services
BEN,Financial Services,Asset Management
PEGA,Technology,Software—Application
PBA,Energy,Oil & Gas Midstream
UVV,Consumer Defensive,Tobacco
J,Industrials,Engineering & Construction
SPR,Industrials,Aerospace & Defense
ACAD,Healthcare,Biotechnology
ALLK,Healthcare,Biotechnology
AXSM,Healthcare,Biotechnology
CPE,Energy,Oil & Gas E&P
UUUU,Energy,Uranium
FNB,Financial Services,Banks—Regional
KOS,Energy,Oil & Gas E&P
MAC,Real Estate,REIT—Retail
NBR,Energy,Oil & Gas Drilling
NEX,Energy,Oil & Gas Equipment & Services
NAT,Industrials,Marine Shipping
NWBI,Financial Services,Banks—Regional
OCFC,Financial Services,Banks—Regional
RC,Real Estate,REIT—Mortgage
RTL,Real Estate,REIT—Diversified
BRC,Industrials,Security & Protection Services
TXRH,Consumer Cyclical,Restaurants
EMKR,Technology,Semiconductors
NI,Utilities,Utilities—Regulated Gas
AGCO,Industrials,Farm & Heavy Construction Machinery
EVT,Financial Services,Asset Management
PEN,Healthcare,Medical Devices
OMF,Financial Services,Credit Services
PGRE,Real Estate,REIT—Office
IMAX,Communication Services,Entertainment
EPD,Energy,Oil & Gas Midstream
TTE,Energy,Oil & Gas Integrated
OPI,Real Estate,REIT—Office
ONVO,Healthcare,Biotechnology
IGT,Consumer Cyclical,Gambling
MAXN,Technology,Solar
BRBR,Consumer Defensive,Packaged Foods
PSIX,Industrials,Specialty Industrial Machinery
FLL,Consumer Cyclical,Resorts & Casinos
CHKP,Technology,Software—Infrastructure
FMX,Consumer Defensive,Beverages—Brewers
AER,Industrials,Rental & Leasing Services
HLF,Consumer Defensive,Packaged Foods
IVCGF,,
RS,Basic Materials,Steel
PLTR,Technology,Software—Infrastructure
PVH,Consumer Cyclical,Apparel Manufacturing
FRT,Real Estate,REIT—Retail
LITE,Technology,Communication Equipment
COMM,Technology,Communication Equipment
SNX,Technology,Electronics & Computer Distribution
BSY,Technology,Software—Application
WIX,Technology,Software—Infrastructure
SMAR,Technology,Software—Application
DBX,Technology,Software—Infrastructure
IPGP,Technology,Semiconductor Equipment & Materials
RL,Consumer Cyclical,Apparel Manufacturing
SKLZ,Communication Services,Electronic Gaming & Multimedia
CHRW,Industrials,Integrated Freight & Logistics
MSGS,Communication Services,Entertainment
EEFT,Technology,Software—Infrastructure
XPO,Industrials,Trucking
WU,Financial Services,Credit Services
OLLI,Consumer Defensive,Discount Stores
MANH,Technology,Software—Application
QRTEA,Consumer Cyclical,Internet Retail
AMBP,Consumer Cyclical,Packaging & Containers
WEC,Utilities,Utilities—Regulated Electric
NRG,Utilities,Utilities—Independent Power Producers
OXBR,Financial Services,Insurance—Reinsurance
FLS,Industrials,Specialty Industrial Machinery
GFS,Technology,Semiconductors
MP,Basic Materials,Other Industrial Metals & Mining
UPST,Financial Services,Credit Services
BAM,Financial Services,Asset Management
XNGSY,Utilities,Utilities—Regulated Gas
PYCR,Technology,Software—Application
PNGAY,Financial Services,Insurance—Life
FSK,Financial Services,Asset Management
LMND,Financial Services,Insurance—Property & Casualty
WEX,Technology,Software—Infrastructure
OLED,Technology,Electronic Components
STNE,Technology,Software—Infrastructure
PENN,Consumer Cyclical,Resorts & Casinos
QGEN,Healthcare,Diagnostics & Research
XRX,Technology,Information Technology Services
UHAL,Industrials,Rental & Leasing Services
GPS,Consumer Cyclical,Apparel Retail
RGEN,Healthcare,Medical Instruments & Supplies
SDC,Healthcare,Medical Instruments & Supplies
SPCE,Industrials,Aerospace & Defense
AMH,Real Estate,REIT—Residential
EMBC,Healthcare,Medical Instruments & Supplies
NEO,Healthcare,Diagnostics & Research
TWST,Healthcare,Diagnostics & Research
USAC,Energy,Oil & Gas Equipment & Services
III,Technology,Information Technology Services
ASX,Technology,Semiconductors
PSMMY,Consumer Cyclical,Residential Construction
VALE,Basic Materials,Other Industrial Metals & Mining
WPC,Real Estate,REIT—Diversified
HII,Industrials,Aerospace & Defense
CVNA,Consumer Cyclical,Auto & Truck Dealerships
CSTL,Healthcare,Diagnostics & Research
DAVA,Technology,Software—Infrastructure
GBCI,Financial Services,Banks—Regional
ETRN,Energy,Oil & Gas Midstream
JBI,Industrials,Building Products & Equipment
EXP,Basic Materials,Building Materials
CABO,Communication Services,Telecom Services
BKE,Consumer Cyclical,Apparel Retail
BLKB,Technology,Software—Application
FLEX,Technology,Electronic Components
WABC,Financial Services,Banks—Regional
SIGI,Financial Services,Insurance—Property & Casualty
ICUI,Healthcare,Medical Instruments & Supplies
UFPI,Basic Materials,Lumber & Wood Production
